"Year","Month","Rainfall","Month_num"
1955,"Aug",547.9,8
1955,"Sep",142.8,9
1955,"Oct",6.2,10
1955,"Nov",45.4,11
1955,"Dec",24.1,12
1956,"Jan",77.1,1
1956,"Feb",65.6,2
1956,"Mar",8.7,3
1956,"Apr",69.7,4
1956,"May",239.7,5
1956,"Jun",413.8,6
1956,"Jul",145.9,7
1956,"Aug",388.6,8
1956,"Sep",161.9,9
1956,"Oct",37.4,10
1956,"Nov",33.6,11
1956,"Dec",7.3,12
1957,"Jan",15.6,1
1957,"Feb",99.3,2
1957,"Mar",97.2,3
1957,"Apr",71.9,4
1957,"May",894.2,5
1957,"Jun",462.3,6
1957,"Jul",395.2,7
1957,"Aug",387.5,8
1957,"Sep",469.6,9
1957,"Oct",47.3,10
1957,"Nov",2.2,11
1957,"Dec",8,12
1958,"Jan",54,1
1958,"Feb",87.8,2
1958,"Mar",118,3
1958,"Apr",48,4
1958,"May",225.5,5
1958,"Jun",243.6,6
1958,"Jul",479.1,7
1958,"Aug",174.6,8
1958,"Sep",549.8,9
1958,"Oct",47.6,10
1958,"Nov",0.7,11
1958,"Dec",4.9,12
1959,"Jan",1.2,1
1959,"Feb",210.2,2
1959,"Mar",44.4,3
1959,"Apr",294,4
1959,"May",90.1,5
1959,"Jun",913.7,6
1959,"Jul",352.5,7
1959,"Aug",603.8,8
1959,"Sep",281,9
1959,"Oct",1,10
1959,"Nov",0.1,11
1959,"Dec",5.4,12
1960,"Jan",15,1
1960,"Feb",0.01,2
1960,"Mar",64.5,3
1960,"Apr",41.6,4
1960,"May",245.4,5
1960,"Jun",676.6,6
1960,"Jul",160.6,7
1960,"Aug",544.9,8
1960,"Sep",311,9
1960,"Oct",26.1,10
1960,"Nov",138,11
1960,"Dec",13.3,12
1961,"Jan",3.9,1
1961,"Feb",46.2,2
1961,"Mar",51.2,3
1961,"Apr",172.3,4
1961,"May",213.9,5
1961,"Jun",121,6
1961,"Jul",492.1,7
1961,"Aug",462,8
1961,"Sep",535,9
1961,"Oct",31.2,10
1961,"Nov",91.5,11
1961,"Dec",12.1,12
1962,"Jan",7.2,1
1962,"Feb",82.5,2
1962,"Mar",10.4,3
1962,"Apr",50.6,4
1962,"May",184.7,5
1962,"Jun",504.9,6
1962,"Jul",157.8,7
1962,"Aug",84.8,8
1962,"Sep",456,9
1962,"Oct",168.3,10
1962,"Nov",33.8,11
1962,"Dec",0.01,12
1963,"Jan",9.8,1
1963,"Feb",1.5,2
1963,"Mar",9.2,3
1963,"Apr",13.6,4
1963,"May",6,5
1963,"Jun",204.7,6
1963,"Jul",323.6,7
1963,"Aug",182.1,8
1963,"Sep",83,9
1963,"Oct",35.1,10
1963,"Nov",31.6,11
1963,"Dec",0.9,12
1964,"Jan",100.6,1
1964,"Feb",11.1,2
1964,"Mar",37,3
1964,"Apr",17.3,4
1964,"May",413.1,5
1964,"Jun",263.9,6
1964,"Jul",103.6,7
1964,"Aug",445.1,8
1964,"Sep",518.5,9
1964,"Oct",514.8,10
1964,"Nov",4.1,11
1964,"Dec",3,12
1965,"Jan",13.5,1
1965,"Feb",16.3,2
1965,"Mar",9,3
